"Refs","Value","Footprint","Qty","DNP"
"C1","10uF","","1",""
"C2","10uF","","1",""
"C3","10uF","","1",""
"C4","10uF","","1",""
"C6","22uF 50V","","1",""
"C8","100uF 16V","","1",""
"D1","1N5819","","1",""
"F1","PPTC 60V 0.4A","","1",""
"J1","TERMINAL_BLK","","1",""
"J2","Conn_01x09_Pin","","1",""
"J3","Conn_01x02","","1",""
"J4","Conn_01x02","","1",""
"J5","Conn_01x09_Pin","","1",""
"J6","Conn_01x02","","1",""
"J7","TERMINAL_BLK","","1",""
"M1","Snubber_module_220VAC","","1",""
"M2","JQC-3FE-S-Z_MODULE","","1",""
"M3","TFT 1.8""","","1",""
"M4","ZMCT103C","","1",""
"M5","ROTARY_ENC_W/SW_MODULE","","1",""
"M6","ADS1115","","1",""
"M7","ESP32-C3-ZERO","","1",""
"M8","4-24V to 5V buck","","1",""
"R1","4.7K","","1",""
"R2","220","","1",""
"R3","10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R4","10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R5","10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"TH1","NTC 10K","","1",""
"TH2","NTC 10K","","1",""
"TH3","NTC 10K","","1",""
"TP1","12V","","1",""
"TP2","5V","","1",""
